timestamp,raw_x,raw_y,kal_x,kal_y,odom_x,odom_y
1765042787,4.457,6.311,4.448,6.552,4.208,6.883
1765042787,4.483,6.113,4.471,6.416,4.249,6.785
1765042787,4.748,6.373,4.557,6.371,4.288,6.688
1765042788,4.692,5.965,4.613,6.232,4.335,6.573
1765042788,4.83,5.932,4.693,6.111,4.379,6.47
1765042789,4.862,5.817,4.766,5.984,4.413,6.388
1765042789,4.773,5.667,4.802,5.845,4.444,6.324
1765042789,4.8,5.591,4.834,5.715,4.465,6.266
1765042790,4.679,5.472,4.825,5.584,4.486,6.214
1765042790,4.682,5.418,4.814,5.468,4.513,6.148
1765042791,4.914,5.702,4.86,5.453,4.537,6.088
1765042791,4.861,5.611,4.883,5.428,4.562,6.029
1765042792,4.785,5.529,4.879,5.395,4.579,5.989
1765042792,4.917,5.697,4.907,5.419,4.596,5.949
1765042800,5.116,4.468,4.979,4.543,4.846,5.136
1765042803,5.344,3.703,5.341,3.777,4.937,4.195
1765042804,5.302,3.531,5.36,3.643,4.951,4.074
1765042804,5.265,3.384,5.363,3.502,4.956,4.016
1765042804,5.207,3.323,5.347,3.376,4.967,3.899
1765042805,5.155,3.284,5.316,3.271,4.978,3.788
1765042805,5.117,3.09,5.277,3.144,4.985,3.684
1765042805,5.096,3.062,5.236,3.04,4.992,3.598
1765042806,5.103,3.003,5.203,2.948,4.998,3.538
1765042806,5.069,2.907,5.165,2.858,5.001,3.507
1765042807,5.069,2.944,5.134,2.802,5.001,3.502
1765042807,5.094,2.92,5.114,2.759,5.001,3.502
1765042807,5.185,2.811,5.123,2.706,4.995,3.5
1765042808,5.09,2.92,5.107,2.698,5.001,3.501
1765042808,5.031,2.892,5.079,2.694,5.003,3.494
1765042809,5.052,2.991,5.062,2.724,5.001,3.5
1765042809,4.983,2.997,5.031,2.757,4.999,3.491
1765042809,5.359,2.69,5.103,2.713,4.988,3.468
1765042810,5.33,2.679,5.159,2.676,4.976,3.442
1765042810,5.154,2.721,5.162,2.659,4.964,3.418
1765042810,4.964,2.849,5.115,2.682,4.947,3.383
1765042811,5.012,2.799,5.086,2.693,4.941,3.367
1765042811,5.205,2.726,5.112,2.686,4.926,3.334
1765042812,5.312,2.555,5.162,2.639,4.91,3.3
1765042812,4.999,2.673,5.124,2.63,4.894,3.263
1765042812,4.939,2.66,5.076,2.623,4.878,3.23
1765042813,5.001,2.665,5.051,2.62,4.859,3.189
1765042813,5.221,2.642,5.087,2.613,4.852,3.174
1765042813,5.344,2.622,5.151,2.604,4.833,3.134
1765042814,5.037,2.745,5.127,2.63,4.816,3.1
1765042814,5.074,2.714,5.115,2.645,4.8,3.067
1765042815,5.162,2.652,5.127,2.644,4.78,3.025
1765042815,5.226,2.524,5.154,2.61,4.765,2.994
1765042815,5.038,2.636,5.128,2.61,4.749,2.96
1765042816,5.05,2.552,5.108,2.59,4.73,2.926
1765042816,4.876,2.296,5.047,2.507,4.714,2.891
1765042816,4.707,2.465,4.952,2.482,4.69,2.855
1765042817,4.77,2.422,4.888,2.451,4.681,2.837
1765042817,4.645,2.359,4.803,2.41,4.658,2.804
1765042818,4.725,2.286,4.755,2.36,4.633,2.771
1765042818,4.666,2.301,4.703,2.323,4.606,2.742
1765042818,4.908,2.143,4.725,2.255,4.572,2.723
1765042819,4.5,2.376,4.644,2.259,4.557,2.71
1765042819,4.417,2.469,4.557,2.291,4.516,2.684
1765042824,3.276,1.771,3.392,1.716,3.288,2.149
1765042825,3.172,1.734,3.255,1.692,3.183,2.105
1765042825,2.972,1.641,3.099,1.653,3.069,2.056
1765042825,2.847,1.59,2.946,1.609,2.959,2.012
1765042826,2.827,1.688,2.823,1.602,2.848,1.965
1765042826,2.684,1.677,2.695,1.597,2.732,1.92
1765042827,2.553,1.643,2.566,1.587,2.623,1.87
1765042827,2.418,1.505,2.435,1.547,2.512,1.825
1765042827,2.422,1.175,2.338,1.43,2.408,1.78
1765042828,2.192,1.132,2.21,1.323,2.283,1.727
1765042828,2.346,1.371,2.154,1.298,2.241,1.709
1765042828,2.292,1.371,2.106,1.281,2.117,1.657
1765042829,2.119,1.347,2.032,1.267,2.011,1.615
1765042829,1.857,1.236,1.914,1.23,1.909,1.57
1765042830,1.668,1.117,1.775,1.173,1.803,1.529
1765042830,1.568,1.02,1.642,1.103,1.694,1.481
1765042830,1.759,1.235,1.59,1.103,1.582,1.436
1765042831,1.541,1.209,1.501,1.102,1.47,1.392
1765042831,1.25,1.087,1.362,1.073,1.415,1.369
1765042831,1.124,1.067,1.222,1.048,1.305,1.322
1765042832,1.248,0.4,1.146,0.858,1.238,1.291
1765042832,1.086,0.838,1.052,0.812,1.168,1.264
1765042834,0.888,0.861,0.776,0.768,0.982,1.187
1765042834,0.822,0.866,0.724,0.768,0.923,1.161
1765042835,0.762,0.865,0.673,0.772,0.886,1.147
1765042835,0.706,0.889,0.624,0.785,0.827,1.124
1765042836,0.612,0.866,0.567,0.792,0.79,1.11
1765042836,0.581,0.867,0.518,0.801,0.747,1.091
1765042837,0.51,0.851,0.466,0.806,0.697,1.07
1765042837,0.486,0.843,0.423,0.809,0.663,1.056
1765042838,0.451,0.878,0.384,0.822,0.621,1.04
1765042838,0.414,0.854,0.349,0.827,0.583,1.025
1765042838,0.374,0.842,0.314,0.829,0.55,1.012
1765042839,0.411,0.848,0.301,0.833,0.53,1.004
